;Thickness_1;Thickness_2;Thickness_3;Thickness_4;Thickness_5;Thickness_6;Thickness_7;Thickness_8;Thickness_9;Material_1;Material_2;Material_3;Material_4;Material_5;Material_6;Material_7;Material_8;Material_9;;Stress_1;Stress_2;Stress_3;Stress_4;Stress_5;Stress_6;Stress_7;Stress_8;Stress_9;Stress_10
Model_1;0.52;0.52;1.25;0.47;1.12;0.80;1.63;0.46;0.82;1;2;2;2;1;1;1;1;2;;94.108;138.083;371.593;49.905;200.534;33.446;142.552;23.726;333.672;2.034
Model_2;0.40;0.60;1.45;0.52;1.15;0.92;1.75;0.51;0.62;2;1;2;1;2;2;2;2;1;;129.723;122.344;349.095;58.811;213.029;31.776;142.064;23.107;390.286;2.4
Model_3;0.41;0.69;1.57;0.65;1.19;0.81;1.69;0.42;0.81;1;1;1;1;1;2;1;1;1;;127.189;136.186;329.091;50.039;226.598;32.207;151.598;26.795;332.137;2.48
Model_4;0.36;0.57;1.47;0.75;1.17;0.80;1.79;0.38;0.63;2;1;1;2;2;1;1;1;2;;148.227;118.526;345.238;62.774;208.222;28.023;138.509;27.719;383.55;2.35
Model_5;0.39;0.63;1.34;0.58;1.16;1.02;1.64;0.44;0.81;1;1;1;1;1;2;2;2;2;;128.123;139.762;368.115;47.953;208.37;30.024;151.697;26.074;345.511;2.336
Model_6;0.43;0.54;1.25;0.76;1.27;0.98;1.87;0.39;0.64;2;1;2;2;2;2;2;1;1;;128.033;117.886;405.73;63.685;166.258;25.631;131.903;27.238;375.849;2.169
Model_7;0.40;0.52;1.48;0.56;1.27;0.99;1.94;0.65;0.59;1;2;2;1;2;1;1;2;2;;130.353;105.389;335.948;63.897;174.635;28.429;115.702;19.732;378.646;2.3
Model_8;0.63;0.57;1.48;0.63;1.28;0.97;1.68;0.45;0.78;1;2;2;1;1;1;2;1;1;;83.694;128.335;343.847;52.903;190.34;30.133;146.07;25.305;318.482;2.185
Model_9;0.47;0.67;1.42;0.61;1.29;1.01;1.62;0.52;0.80;1;2;1;1;2;2;2;2;1;;112.643;140.346;364.265;50.371;189.847;30.773;153.754;24.478;344.254;2.418
Model_10;0.42;0.53;1.39;0.55;0.95;0.85;1.99;0.49;0.58;2;1;1;1;2;1;1;2;1;;120.351;112.794;344.88;63.715;266.154;30.649;118.143;22.234;388.4;2.134
Model_11;0.51;0.52;1.52;0.47;0.93;0.75;1.99;0.55;0.83;1;1;2;2;1;1;1;2;2;;93.093;127.758;307.476;49.876;282.041;33.518;126.583;20.756;288.396;1.935
Model_12;0.41;0.62;1.31;0.62;0.97;0.85;1.72;0.47;0.69;2;1;2;1;2;2;1;1;1;;121.775;140.523;382.874;56.481;268.882;31.036;155.925;24.061;371.473;2.24
Model_13;0.63;0.65;1.44;0.73;1.27;0.73;1.91;0.62;0.58;1;2;1;1;2;2;2;2;1;;90.585;114.315;379.681;68.843;191.616;30.652;129.794;21.461;429.152;2.245
Model_14;0.59;0.70;1.58;0.58;1.12;1.05;1.80;0.54;0.66;2;2;2;2;1;2;2;1;2;;94.611;129.383;337.011;58.356;250.523;29.349;148.237;22.54;385.147;2.391
Model_15;0.65;0.63;1.40;0.74;0.97;1.02;1.61;0.50;0.56;2;1;2;1;2;2;2;2;2;;80.061;141.112;385.322;69.516;291.288;24.189;165.685;23.699;480.026;2.15
Model_16;0.56;0.57;1.60;0.50;1.23;0.83;1.90;0.40;0.75;2;2;1;1;1;2;1;2;1;;96.141;115.623;308.509;50.251;202.735;34.687;129.096;25.639;303.943;2.21
Model_17;0.56;0.62;1.45;0.63;1.24;1.04;1.95;0.46;0.63;1;2;1;1;2;2;2;2;1;;99.7;112.977;359.527;62.384;194.844;27.637;127.608;24.545;379.374;2.227
Model_18;0.45;0.61;1.35;0.48;1.16;0.79;1.88;0.40;0.70;2;1;1;1;2;1;2;1;1;;117.858;122.032;366.046;51.648;203.081;35.458;135.094;25.223;339.607;2.274
Model_19;0.53;0.59;1.41;0.48;0.93;1.07;1.60;0.49;0.77;2;2;1;2;1;2;2;2;1;;91.468;147.844;344.49;48.572;291.246;30.067;162.322;22.911;348.04;2.096
Model_20;0.46;0.55;1.58;0.48;1.15;1.05;1.84;0.53;0.81;2;1;2;2;1;1;2;1;2;;111.513;121.328;306.104;50.472;220.933;30.725;132.557;22.528;291.817;2.219
Model_21;0.66;0.60;1.40;0.57;0.97;0.88;1.64;0.52;0.79;2;2;2;2;2;2;1;2;2;;73.327;146.262;355.144;50.382;281.243;31.867;158.101;22.612;350.935;2.042
Model_22;0.61;0.60;1.44;0.68;1.25;0.91;1.60;0.38;0.73;2;1;2;2;1;1;2;2;2;;87.377;134.048;360.264;57.022;197.16;29.666;156.755;27.367;355.817;2.226
Model_23;0.35;0.51;1.25;0.55;1.13;0.91;1.85;0.44;0.75;2;2;1;2;1;2;2;2;1;;143.618;126.79;374.824;51.262;192.138;31.008;132.103;24.807;308.529;2.148
Model_24;0.54;0.67;1.51;0.71;0.93;0.88;1.60;0.58;0.61;2;1;1;1;1;1;1;2;2;;96.779;149.241;352.17;64.643;321.347;28.39;171.872;22.067;444.82;2.296
Model_25;0.44;0.70;1.43;0.58;1.26;1.03;1.87;0.53;0.67;2;2;1;2;1;2;1;2;2;;124.351;125.368;369.788;56.97;194.53;29.915;139.272;23.541;375.785;2.473
Model_26;0.38;0.56;1.52;0.68;1.27;0.89;1.76;0.41;0.59;1;1;1;2;1;2;1;2;2;;140.268;112.915;336.133;65.447;181.913;27.965;134.855;26.861;401.79;2.382
Model_27;0.44;0.66;1.23;0.66;0.97;0.90;1.82;0.42;0.83;1;2;1;2;2;2;1;2;1;;112.242;145.273;398.715;49.34;258.488;29.756;149.127;25.712;353.356;2.159
Model_28;0.57;0.49;1.49;0.48;1.08;0.80;1.70;0.51;0.63;1;1;2;1;2;2;2;1;1;;87.752;120.11;325.41;58.842;228.529;34.431;140.178;21.788;367.601;2.114
